No. (NEW),Nama Perguruan Tinggi (NEW),Program Studi (NEW),Akreditasi (NEW REVISI),Program Studi  Kategori (NEW),Jenis Perguruan Tinggi (NEW),Provinsi (NEW),Lokasi (NEW),Daya Tampung 2025/2026 (NEW),Biaya UKT Terendah (REVISI),Biaya UKT Tertinggi (REVISI),Kisaran Biaya UKT (NEW),Biaya Lainnya Terendah (REVISI),Biaya Lainnya Tertinggi (REVISI)
142,Universitas Tanjung Pura,Keperawatan,Baik Sekali,Keperawatan,Negeri,Kalimantan Barat,Pontianak,65,500000,6050000,Rp500.000 - Rp6.050.000,500000,4000000
143,Universitas Tanjung Pura,Farmasi,B,Farmasi,Negeri,Kalimantan Barat,Pontianak,75,500000,4000000,Rp500.000 - Rp4.000.000,500000,4000000
144,Universitas Pembangunan Nasional Veteran Jakarta,Kedokteran,Unggul ,Kedokteran,Negeri,DKI Jakarta,Jakarta,205,500000,22300000,Rp500.000 - Rp23.300.000,10000000,200000000
145,Universitas Pembangunan Nasional Veteran Jakarta,Farmasi,Baik Sekali,Farmasi,Negeri,DKI Jakarta,Jakarta,60,500000,10000000,Rp500.000 - Rp10.000.000,10000000,200000000
146,Universitas Islam Negeri Alauddin,Kedokteran,Baik Sekali,Kedokteran,Negeri,Sulawesi Selatan,Makassar,70,0,34608000,Rp0 - Rp34.608.000,0,0
147,Universitas Surabaya,Kedokteran,Baik Sekali,Kedokteran,Swasta,Jawa Timur,Surabaya,50,35000000,35000000,Rp35.000.000,9800000,285000000
148,Universitas Bosowa,Kedokteran,B,Kedokteran,Swasta,Sulawesi Selatan,Makassar,148,15000000,15000000,Rp15.000.000,150000000,150000000
149,Universitas Muhammadiyah Prof. Dr. Hamka,Kedokteran,Baik Sekali,Kedokteran,Swasta,DKI Jakarta,Jakarta,186,40000000,178000000,Rp40.000.000 - Rp178.000.000,40000000,110000000
150,Universitas Mahasaraswati ,Kedokteran,Baik,Kedokteran,Swasta,Bali,Denpasar,25,18695000,24556250,Rp18.695.000 - Rp24.556.250,10950000,12500000
151,Universitas Al-Azhar Mataram ,Pendidikan dokter,Baik Sekali,Kedokteran,Swasta,NTB,Mataram,110,17500000,17500000,Rp17.500.000,335000000,345000000
152,Universitas Ciputra,Kedokteran,B,Kedokteran,Swasta,Jawa Timur,Surabaya,95,37500000,37500000,Rp37.500.000,340000000,340000000
153,Universitas Sultan Ageng Tirtayasa,Kedokteran,Baik,Kedokteran,Negeri,Banten,Serang,50,500000,20000000,Rp500.000 - Rp20.000.000,32334000,32334000
154,Universitas Sultan Ageng Tirtayasa,Keperawatan,Baik,Keperawatan,Negeri,Banten,Serang,70,500000,8750000,Rp500.000 - 8.750.000,25686000,25686000
155,Universitas Sultan Ageng Tirtayasa,Gizi,Baik,Gizi,Negeri,Banten,Serang,60,500000,6500000,Rp500.000 - Rp6.500.000,19037000,19037000
156,Universitas Sultan Ageng Tirtayasa,Ilmu Kolahragaan,Baik,Ilmu Kolahragaan,Negeri,Banten,Serang,60,500000,7500000,Rp500.000-Rp7.500.000,13494000,13494000
157,Universitas Soegijapranata,Pendidikan Dokter,Baik,Kedokteran,Swasta,Jawa Tengah,Semarang ,50,25000000,25000000,Rp25.000.000,300000000,300000000
158,Universitas Negeri Khairun,Ilmu Kedokteran,Baik Sekali,Kedokteran,Negeri,Maluku Utara,Ternate,38,500000,25000000,Rp500.000 - Rp25.000.000,26597000,26597000
